ID,ZIP Code,Gender,Age,Education,Experience,Family,Income,CCAvg,Mortgage,Securities Account,CD Account,Online,CreditCard,Personal Loan
A_1385,94110,F,64,3,40,2,8,0.3,0,0,0,1,0,0
A_827,92104,M,64,3,39,3,8,0.1,87,0,0,0,1,0
A_728,94618,F,63,2,37,1,8,0.8,97,0,0,1,0,0
A_200,95060,F,52,1,28,1,8,0.3,0,0,0,1,0,0
A_1175,94960,M,40,2,15,2,8,0.1,0,0,0,0,0,0
A_989,93401,F,36,3,11,4,8,0.2,81,0,0,0,1,0
A_834,94043,M,35,2,9,1,8,0.4,0,0,0,1,0,0
A_1071,95131,M,31,2,7,4,8,0.7,0,0,0,0,0,0
A_250,91320,M,62,1,37,1,9,0.1,94,0,0,0,0,0
A_1734,93907,M,61,3,37,2,9,0.3,0,0,0,1,0,0
A_1026,91911,M,50,1,25,2,9,0,0,1,0,0,0,0
A_778,92630,M,48,2,24,4,9,0.5,0,0,0,0,1,0
A_251,95023,M,46,3,21,2,9,0.7,0,0,0,1,0,0
A_1078,94005,F,46,1,20,1,9,0.2,0,0,0,1,0,0
A_508,91710,F,42,3,17,2,9,0,0,0,0,0,0,0
A_698,92634,F,38,2,13,2,9,0.3,0,0,0,0,0,0
A_297,94604,F,36,3,11,4,9,0.2,0,0,0,0,1,0
A_744,93106,F,35,2,11,4,9,0.7,0,0,0,1,0,0
A_1890,90230,F,36,3,11,4,9,0.2,0,0,0,1,0,0
A_668,92037,F,29,3,4,4,9,0.5,86,0,0,1,1,0
A_603,95014,F,28,2,2,1,9,0.1,0,0,0,1,0,0
A_1299,90095,M,63,1,37,2,10,0.4,0,0,0,1,0,0
A_286,90740,M,61,1,36,1,10,0.1,0,0,0,0,0,0
A_380,91365,F,61,2,36,4,10,0.4,0,0,0,1,0,0
A_999,92121,F,60,1,36,2,10,1,0,0,0,1,1,0
A_579,90095,F,53,1,29,2,10,0.4,0,0,0,0,0,0
A_1224,92121,F,51,1,27,2,10,0.2,86,0,0,0,0,0
A_1054,92037,F,45,2,18,3,10,0.67,100,0,0,1,0,0
A_1149,91902,M,43,2,18,2,10,0.1,0,1,0,0,1,0
A_1045,94708,M,40,3,15,2,10,0,102,0,0,1,0,0
A_1609,92705,M,39,2,14,2,10,0.3,0,1,0,0,1,0
A_886,92354,F,31,3,7,1,10,0.5,81,0,0,1,0,0
A_77,92325,M,66,3,41,3,11,0.1,0,1,0,0,1,0
A_1487,91711,M,63,2,37,1,11,0.8,102,0,0,0,1,0
A_612,94949,F,59,1,35,2,11,1,0,0,0,0,1,0
A_1816,94305,M,60,3,34,4,11,0.7,0,0,0,1,0,0
A_1778,94110,M,56,1,32,2,11,0.3,89,0,0,0,0,0
A_453,92192,M,47,1,22,2,11,0,78,0,0,0,0,0
A_895,94143,M,45,1,21,4,11,0.2,106,0,0,1,1,0
A_459,91330,F,41,1,17,1,11,1,0,0,0,0,0,0
A_20,91320,M,34,1,8,4,11,0.3,0,1,1,1,1,0
A_291,94534,M,28,3,3,4,11,0.5,0,0,0,0,0,0
A_833,93023,M,61,2,36,4,12,0.6,0,0,0,1,1,0
A_1216,95621,M,53,1,29,1,12,0.3,0,0,0,0,0,0
A_1403,91007,M,51,1,27,2,12,0.2,0,0,0,0,0,0
A_1971,92697,M,51,1,27,2,12,0.4,0,0,0,0,1,0
A_188,90250,M,46,3,20,4,12,0.6,0,0,0,0,1,0
A_1663,94542,F,44,2,17,3,12,0.67,0,0,0,1,0,0
A_1314,90033,M,40,1,16,1,12,1,91,1,0,0,0,0
A_60,92093,F,39,3,14,2,12,0,0,0,0,0,0,0
A_58,94143,M,38,2,13,2,12,0.3,104,1,0,1,0,0
A_1905,91605,F,23,1,-1,4,12,1,90,0,0,1,0,0
A_548,90024,F,61,3,37,2,13,0.3,0,0,0,1,0,0
A_1617,91711,M,61,1,36,3,13,0.5,0,0,0,1,0,0
A_885,94588,M,57,2,32,4,13,0.9,78,1,0,1,0,0
A_736,94305,F,56,2,31,4,13,0.9,76,0,1,1,1,0
A_1243,93943,M,55,1,31,4,13,0.7,0,0,0,1,0,0
A_1955,92037,F,54,1,30,1,13,0.3,0,0,0,0,0,0
A_1113,95054,F,49,1,25,3,13,0.4,106,0,0,1,0,0
A_373,94608,F,49,3,24,1,13,0.4,101,1,0,0,0,0
A_123,91125,F,41,3,16,2,13,0,0,0,0,1,0,0
A_1601,91791,M,28,1,2,4,13,0.4,0,0,0,0,1,0
A_672,95814,F,25,1,1,4,13,1,95,0,0,0,1,0
A_1637,94720,F,23,1,-1,4,13,1,84,0,0,1,0,0
A_1772,95616,F,25,1,-1,4,13,0.4,0,1,0,0,0,0
A_1123,92630,F,63,2,38,4,14,0.4,86,0,0,1,1,0
A_1011,94305,F,59,1,35,2,14,1,107,0,0,1,0,0
A_873,94005,F,53,1,28,4,14,0.8,0,0,0,1,1,0
A_162,92182,M,51,1,26,2,14,0,103,0,0,1,0,0
A_138,92037,F,50,1,25,4,14,0.8,0,0,0,1,0,0
A_1656,91330,M,48,1,24,3,14,0.4,0,0,0,1,0,0
A_1293,94303,M,48,3,22,2,14,0.1,0,0,0,1,0,0
A_1428,94720,M,44,3,18,2,14,0.1,98,0,0,0,1,0
A_773,91768,F,42,2,17,2,14,0.1,0,0,0,1,0,0
A_497,92064,M,42,2,15,3,14,1,0,1,0,0,0,0
A_577,90740,M,37,2,11,3,14,0.1,113,0,0,1,0,0
A_1825,94720,F,35,1,11,4,14,1,0,0,1,1,1,0
A_977,95133,M,33,3,9,3,14,0.9,114,0,0,0,0,0
A_1516,91320,M,33,2,9,4,14,0.7,105,0,0,1,0,0
A_1696,95014,M,34,1,8,4,14,0.3,0,0,0,0,0,0
A_1930,94590,M,29,3,4,4,14,0.5,0,0,0,0,1,0
A_721,94301,M,26,1,0,4,14,0.4,94,0,0,1,0,0
A_779,94583,M,62,3,37,3,15,0.1,91,0,0,0,0,0
A_1567,94303,M,57,1,33,2,15,0.3,0,0,0,1,0,0
A_326,90089,M,56,2,32,1,15,0.1,0,0,0,1,0,0
A_611,95747,F,55,1,31,1,15,0.2,0,0,0,0,0,0
A_285,92373,F,51,1,26,2,15,0,114,0,0,1,0,0
A_179,94720,M,51,3,25,4,15,0.6,0,0,0,0,1,0
A_193,90405,M,44,1,20,1,15,1,0,0,0,1,0,0
A_1984,95370,M,46,3,20,4,15,0.6,0,1,0,1,0,0
A_1524,94124,F,41,2,16,2,15,0.3,83,0,0,0,0,0
A_740,93561,F,39,2,14,2,15,0.3,92,0,0,0,0,0
A_1027,90245,M,38,2,13,2,15,0.1,90,0,0,1,0,0
A_252,94720,M,36,2,11,2,15,0.3,119,0,0,0,0,0
A_597,91380,F,31,3,7,3,15,0.9,0,0,0,1,0,0
A_1921,94309,F,64,3,40,2,18,0.3,0,1,1,1,1,0
A_295,94923,M,65,1,39,2,18,0.4,0,1,1,1,1,0
A_1206,92028,M,62,2,37,1,18,1.5,127,0,0,0,0,0
A_1894,95010,F,61,1,36,1,18,1.3,0,0,0,0,0,0
A_1828,94303,M,61,3,35,3,18,0.3,0,0,0,0,0,0
A_114,95814,M,59,2,34,3,18,1.3,104,0,1,1,1,0
A_462,94701,M,58,2,33,3,18,0.1,110,0,0,1,0,0
A_1355,94402,F,58,2,33,3,18,0.1,0,0,0,1,1,0
A_468,91301,F,52,1,28,1,18,0.3,120,0,0,1,0,0
A_1370,94304,F,48,1,24,4,18,0.2,0,0,0,1,1,0
A_1605,92521,F,46,1,20,1,18,0.2,0,0,0,1,1,0
A_1109,93943,F,44,3,18,2,18,0.1,0,0,0,1,0,0
A_538,92093,F,33,3,7,1,18,0.6,0,0,0,0,0,0
A_1707,94720,F,31,3,7,1,18,0.4,0,0,0,1,0,0
A_1633,94111,M,31,2,5,4,18,0.3,0,0,0,0,1,0
A_1842,90277,M,30,2,4,2,18,0.3,0,0,0,1,0,0
A_429,90504,M,58,3,34,1,19,1.2,0,0,0,0,0,0
A_205,95348,F,57,1,32,1,19,1.3,0,0,0,1,0,0
A_1887,90405,M,58,3,32,4,19,0.7,0,0,0,0,0,0
A_1570,91109,M,61,3,31,1,19,1.5,0,0,0,1,0,0
A_43,92109,M,55,3,29,4,19,0.7,121,1,0,0,1,0
A_1012,94608,F,53,1,28,4,19,0.8,106,0,0,0,1,0
A_261,90650,F,52,2,26,2,19,0.7,0,0,0,0,1,0
A_1163,95812,F,51,3,25,1,19,1.4,98,0,0,0,0,0
A_1374,94545,F,49,3,25,1,19,0.9,0,0,0,0,0,0
A_572,92673,F,53,3,23,4,19,0.4,84,0,0,1,0,0
A_1574,90272,F,50,2,23,1,19,0.5,104,0,0,0,1,0
A_1833,94521,M,49,3,23,4,19,0.6,0,0,0,1,1,0
A_1512,94590,M,47,3,22,1,19,0.4,0,0,0,1,0,0
A_1628,95616,M,48,3,22,2,19,0.1,106,0,0,0,0,0
A_22,92612,M,50,3,20,4,19,0.4,0,0,0,0,0,0
A_516,94305,F,46,2,19,3,19,0.67,0,0,0,1,0,0
A_937,92115,F,42,3,17,2,19,0,85,0,0,1,1,0
A_198,92028,M,40,2,16,4,19,0.4,0,0,0,1,1,0
A_631,91730,M,41,2,16,2,19,0.3,105,0,0,0,0,0
A_1695,90630,M,40,3,15,4,19,0.2,0,0,0,1,0,0
A_1716,94112,F,44,3,14,1,19,0.75,0,0,0,0,1,0
A_399,92069,F,38,2,13,2,19,1.4,120,0,0,0,1,0
A_1429,95054,M,37,2,11,3,19,0.2,0,0,0,1,0,0
A_365,96001,F,31,3,6,4,19,1.1,104,0,1,1,1,0
A_1832,92521,M,34,3,4,1,19,0.67,83,0,0,1,0,0
A_339,91741,F,67,1,41,2,20,0.4,80,0,0,0,0,0
A_824,94608,M,65,1,40,3,20,0.5,102,0,0,1,1,0
A_1473,92647,F,65,3,40,3,20,0.1,0,0,0,0,1,0
A_148,90066,F,63,2,37,1,20,0.8,0,1,0,0,1,0
A_684,94704,M,63,1,37,2,20,0.4,76,0,0,0,0,0
A_1803,92110,F,60,1,35,1,20,1.3,0,0,0,1,0,0
A_10,94066,M,47,1,21,1,20,0.2,0,0,0,1,1,0
A_192,92780,F,44,3,20,1,20,1.4,0,0,0,0,0,0
A_1631,94110,F,43,1,19,3,20,0.5,0,0,0,0,0,0
A_983,94024,M,38,2,14,4,20,0.4,79,0,0,1,1,0
A_330,90033,F,36,1,10,4,20,0.3,97,0,0,1,0,0
A_151,92648,M,34,3,9,4,20,1.1,0,0,0,1,0,0
A_1679,95521,F,33,2,9,4,20,0.7,0,0,0,1,0,0
A_536,92691,M,33,1,8,3,20,1.3,83,0,0,0,1,0
A_1030,93106,M,32,3,8,1,20,0.5,102,0,0,1,0,0
A_463,94720,F,31,1,5,2,20,0.3,0,0,0,0,0,0
A_627,92007,M,27,1,3,4,20,1,0,0,0,0,0,0
A_1323,95616,F,27,1,3,4,20,1,134,0,0,1,1,0
A_1340,95064,F,27,3,2,4,20,0.5,0,0,0,1,0,0
A_1966,92806,F,25,1,1,4,20,1,0,0,0,0,1,0
A_1811,94607,F,67,3,42,3,21,0.1,0,0,0,0,1,0
A_324,92717,F,65,3,40,3,21,0.1,0,0,0,0,1,0
A_347,94553,M,65,1,39,2,21,0.4,0,0,0,0,0,0
A_1860,95422,M,64,2,38,1,21,0.8,76,0,0,0,1,0
A_1747,95818,M,59,1,35,2,21,1,120,0,0,1,0,0
A_169,92028,F,59,2,34,3,21,1.3,0,0,0,1,1,0
A_28,92037,M,57,2,32,4,21,0.9,113,1,0,0,0,0
A_105,94542,M,56,2,30,2,21,0.7,0,0,0,1,0,0
A_1381,95351,F,54,2,30,1,21,0.1,76,0,0,1,0,0
A_87,92028,F,55,3,29,4,21,0.7,0,0,0,0,0,0
A_1543,95841,F,54,3,29,4,21,0.1,0,0,0,0,0,0
A_67,94035,M,52,1,28,2,21,0.4,0,1,0,1,0,0
A_1015,90274,F,50,3,25,2,21,0.7,129,0,0,0,0,0
A_336,95014,F,51,2,24,2,21,1,0,0,0,1,0,0
A_149,95037,M,43,2,18,2,21,1.4,0,0,0,1,1,0
A_1327,90840,M,44,1,18,1,21,0.2,0,0,0,1,0,0
A_1578,92024,M,41,2,16,2,21,0.1,0,0,0,0,0,0
A_754,90034,M,40,3,15,2,21,0,0,0,0,1,0,0
A_1588,95678,F,42,2,15,3,21,1,0,0,0,1,0,0
A_1884,94303,F,39,3,14,1,21,0.6,101,0,0,0,0,0
A_558,95814,M,35,2,11,2,21,1,0,0,0,0,0,0
A_1306,94604,F,37,2,11,3,21,0.2,0,0,0,1,0,0
A_1586,92084,M,36,2,10,3,21,0.1,0,0,0,0,0,0
A_1596,92008,F,36,2,10,3,21,0.1,0,0,0,0,1,0
A_1845,95060,F,38,3,8,1,21,0.67,0,0,0,1,0,0
A_1303,90095,M,33,3,7,1,21,0.6,0,1,0,0,0,0
A_19,90601,M,29,3,5,3,21,0.9,119,0,0,0,0,0
A_227,90717,F,29,2,5,4,21,0.4,89,0,0,0,1,0
A_246,92697,M,64,3,38,2,22,0.2,0,1,0,0,0,0
A_1349,92660,M,60,1,35,1,22,1.3,80,0,0,0,0,0
A_1388,95616,F,57,2,32,3,22,0.1,0,0,0,1,0,0
A_1614,95060,M,54,1,30,2,22,0.4,89,0,0,1,0,0
A_830,91711,F,52,1,28,2,22,0.4,0,0,0,1,1,0
A_388,92037,F,50,2,26,4,22,0.5,112,0,0,1,0,0
A_1185,92831,M,53,2,26,1,22,0.5,100,0,0,1,0,0
A_433,90058,M,49,1,25,4,22,0.2,83,0,0,1,0,0
A_764,94901,F,47,1,23,4,22,0.6,0,0,0,1,1,0
A_1261,92037,M,47,1,21,1,22,0.2,104,0,0,0,0,0
A_147,90024,F,44,1,20,1,22,1,91,0,0,0,0,0
A_1808,90230,M,45,1,20,1,22,0.1,0,0,0,0,0,0
A_403,90639,F,45,1,19,1,22,0.2,0,0,0,1,0,0
A_845,91311,F,43,2,18,2,22,0.3,0,0,0,0,0,0
A_1603,94546,M,44,2,17,3,22,1,126,0,0,1,1,0
A_100,94035,F,39,2,14,2,22,0.3,0,0,0,1,0,0
A_662,94566,M,40,3,14,2,22,1.4,0,0,0,0,0,0
A_1179,90035,F,37,2,11,3,22,0.1,114,0,0,0,0,0
A_1235,93711,F,37,2,11,3,22,0.1,0,0,0,1,1,0
A_1717,94085,M,35,2,9,3,22,0.1,0,0,1,1,1,0
A_1223,94583,M,32,2,8,4,22,0.7,0,0,0,1,1,0
A_1409,94061,M,32,1,6,4,22,0.3,0,0,0,0,0,0
A_920,91401,M,31,3,5,1,22,0.6,0,0,0,0,0,0
A_480,95670,F,28,2,2,1,22,0.1,0,0,0,1,0,0
A_868,91768,F,64,1,39,3,23,0.5,0,1,0,0,0,0
A_1932,94720,M,61,2,37,3,23,0.4,0,0,0,0,0,0
A_1566,94720,M,61,3,35,3,23,0.3,0,0,0,1,0,0
A_798,94803,F,60,2,34,1,23,0.8,112,0,0,1,0,0
A_856,91768,F,58,1,33,3,23,0.2,0,0,0,0,0,0
A_1345,94002,M,59,3,33,2,23,0.2,0,0,0,1,0,0
A_1777,93407,M,57,3,32,1,23,0.3,0,0,0,1,1,0
A_419,94122,M,55,1,31,2,23,0.2,0,0,0,1,0,0
A_1559,95616,F,55,1,31,2,23,0.3,0,0,0,1,1,0
A_934,93955,F,54,2,29,1,23,1.5,0,0,0,0,0,0
A_942,95828,M,52,1,28,3,23,0.4,0,0,0,1,0,0
A_1059,92780,M,52,3,27,1,23,0.4,0,0,0,0,0,0
A_1352,92630,M,50,1,26,1,23,0.3,0,0,0,0,0,0
A_320,93106,F,55,3,25,4,23,0.4,88,0,0,0,0,0
A_716,95616,F,51,2,24,1,23,0.5,0,0,0,1,0,0
A_882,94720,F,48,2,21,3,23,0.67,95,0,0,0,0,0
A_236,95053,M,42,3,17,2,23,0,0,0,0,0,0,0
A_314,94143,F,41,2,16,2,23,0.3,118,0,0,0,0,0
A_268,91116,F,38,3,13,4,23,0.2,0,0,0,1,0,0
A_1897,90024,F,39,2,12,3,23,1,0,0,0,1,1,0
A_1037,94553,M,36,3,11,4,23,0.2,0,0,0,1,0,0
A_1652,95670,M,35,1,9,4,23,0.3,0,0,0,0,0,0
A_1569,94110,M,31,1,5,3,23,1,95,0,0,0,0,0
A_1585,94122,F,30,2,4,4,23,0.3,121,0,0,0,0,0
A_1023,94117,M,64,2,39,4,24,0.6,0,0,0,0,0,0
A_1711,90717,F,62,3,37,1,24,0.3,0,1,0,1,0,0
A_1230,94501,F,57,2,33,1,24,0.1,0,0,0,0,0,0
A_1458,94550,F,56,2,30,2,24,0.7,0,0,0,1,0,0
A_1636,92647,F,54,2,30,1,24,0.1,0,0,0,0,0,0
A_61,94105,F,53,1,29,2,24,0.2,0,0,0,0,1,0
A_1004,95678,M,49,1,25,3,24,0.4,0,0,0,1,0,0
A_1791,95819,F,49,1,25,1,24,0.3,0,0,0,0,0,0
A_1724,92624,F,48,1,24,4,24,0.2,0,0,0,1,0,0
A_1793,91950,F,48,3,24,1,24,0.9,0,0,0,0,0,0
A_1908,93106,M,45,3,21,1,24,0.9,0,0,0,0,0,0
A_204,90025,F,46,2,19,3,24,0.67,0,0,0,1,0,0
A_24,92123,M,39,1,15,1,24,1,116,0,0,1,1,0
A_102,94611,M,39,2,14,2,24,0.3,0,0,0,1,0,0
A_133,96651,F,26,3,1,2,24,0.9,123,0,0,0,1,0
A_1867,94035,F,63,3,37,2,25,0.2,0,0,0,1,0,0
A_226,90740,F,62,3,36,3,25,0.3,0,0,0,1,1,0
A_733,95827,F,59,1,35,2,25,0.3,75,0,0,1,0,0
A_945,90059,F,58,1,34,2,25,0.3,123,0,0,1,0,0
A_1061,94132,F,60,3,34,4,25,0.7,0,0,0,1,0,0
A_593,92064,M,57,1,33,2,25,1,0,0,0,1,0,0
A_523,90049,F,57,3,32,2,25,0.2,0,0,0,1,1,0
A_231,94720,F,55,1,31,2,25,0.2,0,0,0,0,0,0
A_233,92008,M,53,1,29,2,25,0.4,0,0,0,1,0,0
A_1927,90747,M,54,3,29,4,25,0.1,109,0,0,0,0,0
A_1263,92123,F,53,2,26,2,25,1,0,0,1,1,1,0
A_1629,95192,M,49,1,25,4,25,1,0,0,0,1,1,0
A_705,90505,F,54,3,24,4,25,0.4,115,0,0,0,0,0
A_1419,90016,M,54,3,24,4,25,0.4,0,0,0,0,1,0
A_535,90274,F,49,3,23,1,25,1.4,0,0,0,1,0,0
A_925,93106,M,47,3,23,1,25,0.9,0,0,0,1,0,0
A_300,90404,M,47,1,22,1,25,0.1,148,0,0,1,0,0
A_64,93401,F,46,3,20,4,25,0.6,125,0,0,0,0,0
A_209,91320,F,50,3,20,4,25,0.4,0,0,0,1,0,0
A_673,94609,M,45,3,19,2,25,0.1,102,0,0,1,0,0
A_875,95064,F,44,2,17,3,25,1,0,0,0,0,1,0
A_994,92182,F,41,2,16,2,25,0.1,91,1,0,0,0,0
A_1044,94126,M,43,2,16,3,25,1,0,0,0,1,0,0
A_402,93023,M,39,3,15,1,25,1.4,0,0,0,0,0,0
A_150,95135,M,38,2,14,4,25,0.4,101,0,0,1,0,0
A_11,90304,F,39,3,13,4,25,1.5,0,0,0,1,0,0
A_195,95370,M,39,2,13,3,25,0.2,0,0,0,1,0,0
A_1787,92038,F,34,1,10,4,25,1,0,0,0,1,0,0
A_646,93524,M,32,3,8,3,25,0.9,0,0,0,1,1,0
A_308,92123,M,30,2,4,2,25,0.3,0,0,0,0,0,0
A_1682,92173,M,30,1,4,2,25,0.3,0,1,0,1,0,0
A_1700,93302,M,61,3,35,2,28,0.2,135,0,0,1,0,0
A_1278,94720,F,58,3,33,1,28,0.3,0,0,0,1,0,0
A_1942,94608,M,58,2,33,2,28,0.5,146,1,0,1,0,0
A_1568,94720,M,56,1,31,1,28,1.3,138,0,0,0,1,0
A_1245,92093,F,54,2,29,4,28,0.2,101,0,0,1,0,0
A_1783,94539,F,55,2,29,2,28,0.7,82,0,0,1,1,0
A_208,95405,F,52,3,26,1,28,0.3,0,0,0,1,0,0
A_1280,93907,M,52,2,26,2,28,0.7,90,0,0,1,1,0
A_743,92868,M,47,1,21,3,28,1.5,0,0,0,1,0,0
A_1935,93010,M,43,1,19,3,28,0.5,0,0,0,1,1,0
A_898,95616,M,41,1,17,1,28,0.7,0,0,0,0,1,0
A_615,95039,F,45,3,15,1,28,0.75,0,1,0,0,0,0
A_1881,95818,F,39,3,15,1,28,1.4,118,0,0,1,1,0
A_279,95821,F,38,2,14,4,28,0.4,100,0,0,1,0,0
A_1124,94061,F,40,3,14,2,28,0.8,0,0,0,0,0,0
A_1909,91320,F,39,2,14,2,28,1.4,108,0,0,0,1,0
A_1782,94501,F,37,3,11,2,28,0.8,0,0,0,0,0,0
A_1972,94546,M,35,3,9,1,28,0.6,0,0,0,0,1,0
A_930,90034,F,32,3,7,4,28,1.1,0,0,0,0,0,0
A_1642,94109,F,33,1,7,4,28,0.8,0,0,0,1,0,0
A_137,94538,M,31,1,5,3,28,1,0,0,0,1,0,0
A_253,92037,M,31,1,5,4,28,0.8,0,0,0,0,0,0
A_1211,96651,F,29,3,5,1,28,0.2,0,0,0,1,0,0
A_932,94596,M,25,3,1,1,28,1,0,0,0,1,0,0
A_1170,90245,F,64,2,38,3,29,0.7,0,0,0,1,0,0
A_918,91030,F,62,3,37,1,29,0.3,0,0,0,0,1,0
A_422,90210,M,61,2,36,2,29,0.5,0,0,0,1,0,0
A_1068,93065,M,61,1,36,1,29,1.3,0,0,0,0,0,0
A_2000,92126,F,60,2,35,3,29,1.3,0,0,0,0,0,0
A_1763,92152,F,56,2,30,4,29,0.7,87,0,0,1,0,0
A_374,94303,F,51,1,25,4,29,0.1,0,0,0,1,1,0
A_680,90095,F,50,1,25,2,29,1.3,0,0,0,0,0,0
A_1511,90212,M,51,3,25,1,29,1.4,102,0,0,0,1,0
A_1001,94551,F,49,1,23,4,29,1.8,0,0,0,1,1,0
A_99,90005,F,45,3,21,1,29,0.3,0,0,0,1,0,0
A_1703,95126,F,43,3,18,1,29,0.5,0,0,0,1,0,0
A_530,94024,M,41,3,15,2,29,0.8,98,0,0,0,0,0
A_704,92084,M,38,3,12,2,29,1.4,0,0,0,1,0,0
A_789,94583,M,36,1,12,1,29,1.33,81,0,0,1,0,0
A_1774,93611,M,42,3,12,3,29,2,0,0,0,0,0,0
A_515,93065,M,36,1,10,4,29,1,0,0,0,1,1,0
A_1677,93555,M,34,2,10,1,29,1.5,0,0,0,1,0,0
A_568,94701,M,39,3,9,3,29,2,151,1,0,0,0,0
A_470,92807,F,32,3,8,1,29,0.2,76,0,0,1,1,0
A_663,90025,F,34,3,8,2,29,2,0,0,0,1,1,0
A_767,92121,M,30,3,6,1,29,0.2,90,0,0,1,0,0
A_190,95405,M,31,2,5,2,29,0.3,131,0,0,1,1,0
A_98,94720,F,29,1,3,3,29,1,0,0,0,1,1,0
A_224,91105,M,28,1,3,4,29,0.8,135,0,0,1,0,0
A_335,94304,F,65,2,39,3,30,0.7,0,0,0,1,1,0
A_632,94304,M,62,3,38,3,30,0.1,128,0,0,1,0,0
A_1056,93711,M,60,1,36,4,30,1.3,118,0,0,1,1,0
A_14,92084,M,59,1,34,1,30,1.3,0,0,0,1,1,0
A_425,93106,M,57,1,33,3,30,1.5,151,1,0,1,0,0
A_1276,94024,F,57,2,32,2,30,2,0,0,0,0,0,0
